from Координаты игрока: X = -1074.2600097656, Y = 139.0299987793, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -1683.4000244141, Y = -462.58999633789, Z = 11776.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1625.9799804688, Y = 249.80000305176, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -2404.7700195313, Y = 265.5299987793, Z = 11744.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1678.0200195313, Y = -797.59997558594, Z = 11488.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -1647.6700439453, Y = -179.13999938965, Z = 11776.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1701.8699951172, Y = 272.79998779297, Z = -167.92999267578 | Название карты: de_mirage | to Координаты игрока: X = -1011.3900146484, Y = -398.38000488281, Z = -336.76998901367 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -1663.3900146484, Y = -210.2200012207, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -1554.0799560547, Y = -505.83999633789, Z = 11488.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -247.50999450684, Y = -1212.6400146484, Z = 22.590000152588 | Название карты: de_overpass | to Координаты игрока: X = -1285.8699951172, Y = 263.19000244141, Z = 23.680000305176 | Название карты: de_overpass | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -910.89001464844, Y = -100.48000335693, Z = -167.9700012207 | Название карты: de_mirage | to Координаты игрока: X = -1002.5800170898, Y = 274.39001464844, Z = -367.9700012207 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = 447.04998779297, Y = -40.740001678467, Z = -639.96997070313 | Название карты: de_nuke | to Координаты игрока: X = 1190.3299560547, Y = -1259.2399902344, Z = -648.46997070313 | Название карты: de_nuke | Оружия: awp, auto, ssg08
from Координаты игрока: X = -273.32998657227, Y = 2071.8999023438, Z = -127.41999816895 | Название карты: de_dust2 | to Координаты игрока: X = 314.7200012207, Y = 1682.4100341797, Z = 45.830001831055 | Название карты: de_dust2 | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1008.1900024414, Y = -173.58999633789, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -1342.1500244141, Y = -110.66999816895, Z = 11488.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1829.5799560547, Y = 413.41000366211, Z = 301.0299987793 | Название карты: de_overpass | to Координаты игрока: X = -1009.2899780273, Y = -149.36999511719, Z = 103.5299987793 | Название карты: de_overpass | Оружия: awp
from Координаты игрока: X = -210.99000549316, Y = -910.04998779297, Z = -167.72999572754 | Название карты: de_mirage | to Координаты игрока: X = -657.44000244141, Y = -840.10998535156, Z = -263.91000366211 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1365.2399902344, Y = -622.66998291016, Z = 5.8499999046326 | Название карты: de_overpass | to Координаты игрока: X = -841.02001953125, Y = -120.12999725342, Z = 100.0299987793 | Название карты: de_overpass | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1593.0699462891, Y = 100.12000274658, Z = -167.99000549316 | Название карты: de_mirage | to Координаты игрока: X = -791.16998291016, Y = -41.639999389648, Z = -167.11999511719 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -611.04840087891, Y = -783.94201660156, Z = -263.96875 | Название карты: de_mirage | to Координаты игрока: X = -307.37084960938, Y = -1535.0300292969, Z = -167.96875 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -129.65625, Y = -2412.96875, Z = -163.96875 | Название карты: de_mirage | to Координаты игрока: X = 684.93908691406, Y = -2317.6110839844, Z = -39.96875 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1674.5100097656, Y = 517.22998046875, Z = -168.11000061035 | Название карты: de_mirage | to Координаты игрока: X = -1157.6199951172, Y = -779.72998046875, Z = -167.9700012207 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1961.5600585938, Y = 127.30999755859, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -2079.1499023438, Y = 0.76999998092651, Z = 11552.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -557.34002685547, Y = -461.95001220703, Z = 17.60000038147 | Название карты: de_overpass | to Координаты игрока: X = -799.01000976563, Y = 393.91000366211, Z = 100.0299987793 | Название карты: de_overpass | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -1113.3800048828, Y = -742.29998779297, Z = 11776.030273438 | Название карты: de_vertigo | to Координаты игрока: X = -1667.8199462891, Y = -840.59997558594, Z = 11488.030273438 | Название карты: de_vertigo | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1023.6599731445, Y = -285.32000732422, Z = -367.9700012207 | Название карты: de_mirage | to Координаты игрока: X = 664.5, Y = -1631.9899902344, Z = -261.08999633789 | Название карты: de_mirage | Оружия: awp, auto, ssg08, revolver
from Координаты игрока: X = -757.04998779297, Y = 199.57000732422, Z = -173.25 | Название карты: de_mirage | to Координаты игрока: X = -673.96002197266, Y = 558.39001464844, Z = -81.889999389648 | Название карты: de_mirage | Оружия: awp, auto, ssg08
from Координаты игрока: X = -1830.2900390625, Y = 410.70001220703, Z = 301.0299987793 | Название карты: de_overpass | to Координаты игрока: X = -870, Y = 269.33999633789, Z = 100.0299987793 | Название карты: de_overpass | Оружия: awp
